function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
rosenbrock,5,hw,1,gaussian,2.0,1,-1.9845114060186893,-4.518244534815053,1.9845114060186893,4.518244534815053
rosenbrock,5,hw,1,gaussian,2.0,2,-7.4086777993902215,-6.6132662872187495,7.4086777993902215,6.6132662872187495
rosenbrock,5,hw,1,gaussian,2.0,3,-5.187352315699396,-6.056252482308741,5.187352315699396,6.056252482308741
rosenbrock,5,hw,1,gaussian,2.0,4,-1.185120306816735,-4.79844157617587,1.185120306816735,4.79844157617587
rosenbrock,5,hw,2,gaussian,2.0,0,-10.679736109568468,-11.803762321396832,10.679736109568468,11.803762321396832
rosenbrock,5,hw,2,gaussian,2.0,1,-19.003347625176833,-19.618326030477345,19.003347625176833,19.618326030477345
rosenbrock,5,hw,2,gaussian,2.0,2,-18.30141373002849,-14.971536676884332,18.30141373002849,14.971536676884332
rosenbrock,5,hw,2,gaussian,2.0,3,-8.000842982694714,-8.040826411183648,8.000842982694714,8.040826411183648
rosenbrock,5,hw,2,gaussian,2.0,4,-19.18185876904467,-20.798501709109743,19.18185876904467,20.798501709109743
ackley,5,1.0,0,gaussian,2.0,0,1.2251065987416352,-5.310469037328179,-1.2251065987416352,5.310469037328179
ackley,5,1.0,0,gaussian,2.0,1,-5.266678491371561,-7.620436677129712,5.266678491371561,7.620436677129712
ackley,5,1.0,0,gaussian,2.0,2,-2.239828613086493,-4.695481226486116,2.239828613086493,4.695481226486116
ackley,5,1.0,0,gaussian,2.0,3,-4.5616589216130885,-6.393449073962319,4.5616589216130885,6.393449073962319
ackley,5,1.0,0,gaussian,2.0,4,0.8481707653625468,-3.4191100541361483,-0.8481707653625468,3.4191100541361483
ackley,5,1.0,1,gaussian,2.0,0,-0.08277603305670045,-5.912180999200437,0.08277603305670045,5.912180999200437
ackley,5,1.0,1,gaussian,2.0,1,-1.8171574179406256,-5.5199082954115255,1.8171574179406256,5.5199082954115255
ackley,5,1.0,1,gaussian,2.0,2,-0.9356051068212441,-4.823404959724879,0.9356051068212441,4.823404959724879
ackley,5,1.0,1,gaussian,2.0,3,-4.5616589216130885,-6.628169806404948,4.5616589216130885,6.628169806404948
ackley,5,1.0,1,gaussian,2.0,4,-1.3707538194801776,-4.173987789570415,1.3707538194801776,4.173987789570415
ackley,5,1.0,2,gaussian,2.0,0,2.1716109806063093,-4.0463822655749695,-2.1716109806063093,4.0463822655749695
ackley,5,1.0,2,gaussian,2.0,1,-5.266678491371561,-7.620436677129712,5.266678491371561,7.620436677129712
ackley,5,1.0,2,gaussian,2.0,2,-0.43915446552306214,-3.352931343104228,0.43915446552306214,3.352931343104228
ackley,5,1.0,2,gaussian,2.0,3,-2.2704334933369186,-5.069659240464066,2.2704334933369186,5.069659240464066
ackley,5,1.0,2,gaussian,2.0,4,0.5804803016828517,-3.250234309577753,-0.5804803016828517,3.250234309577753
ackley,5,hw,0,gaussian,2.0,0,-0.820430929074754,-5.912180999200437,0.820430929074754,5.912180999200437
ackley,5,hw,0,gaussian,2.0,1,-5.266678491371561,-7.620436677129712,5.266678491371561,7.620436677129712
ackley,5,hw,0,gaussian,2.0,2,-2.6850026319289615,-6.3550779721914985,2.6850026319289615,6.3550779721914985
ackley,5,hw,0,gaussian,2.0,3,-0.11517846641198659,-4.097227809590258,0.11517846641198659,4.097227809590258
ackley,5,hw,0,gaussian,2.0,4,-0.4785302242899787,-4.820521581552171,0.4785302242899787,4.820521581552171
ackley,5,hw,1,gaussian,2.0,0,-4.100965173771185,-5.912180999200437,4.100965173771185,5.912180999200437
ackley,5,hw,1,gaussian,2.0,1,-3.0858491931974568,-7.3299925858092045,3.0858491931974568,7.3299925858092045
ackley,5,hw,1,gaussian,2.0,2,-2.942037106198976,-5.329724546126599,2.942037106198976,5.329724546126599
ackley,5,hw,1,gaussian,2.0,3,-0.5684690257878131,-4.415637020436272,0.5684690257878131,4.415637020436272
ackley,5,hw,1,gaussian,2.0,4,-2.0626469022749094,-4.218634387561533,2.0626469022749094,4.218634387561533
ackley,5,hw,2,gaussian,2.0,0,1.0424879416322126,-4.425701010823232,-1.0424879416322126,4.425701010823232
ackley,5,hw,2,gaussian,2.0,1,-5.266678491371561,-7.620436677129712,5.266678491371561,7.620436677129712
ackley,5,hw,2,gaussian,2.0,2,-0.8588539280016092,-2.855989748001765,0.8588539280016092,2.855989748001765
ackley,5,hw,2,gaussian,2.0,3,-0.8218867754181929,-3.9899446888759944,0.8218867754181929,3.9899446888759944
ackley,5,hw,2,gaussian,2.0,4,-0.6764852930248595,-4.017526716616665,0.6764852930248595,4.017526716616665
rastrigin,5,1.0,0,gaussian,2.0,0,-25.198131769227135,-26.76724243786913,25.198131769227135,26.76724243786913
rastrigin,5,1.0,0,gaussian,2.0,1,-44.43258360060507,-43.23586868461168,44.43258360060507,43.23586868461168
rastrigin,5,1.0,0,gaussian,2.0,2,-25.193971941334734,-25.14634583683052,25.193971941334734,25.14634583683052
rastrigin,5,1.0,0,gaussian,2.0,3,-3.618980180060971,-6.65700687071466,3.618980180060971,6.65700687071466
rastrigin,5,1.0,0,gaussian,2.0,4,-17.863300689277366,-17.946992203149904,17.863300689277366,17.946992203149904
rastrigin,5,1.0,1,gaussian,2.0,0,-7.942671015004509,-8.22429231876098,7.942671015004509,8.22429231876098
rastrigin,5,1.0,1,gaussian,2.0,1,-29.685009049738305,-28.222342622562955,29.685009049738305,28.222342622562955
rastrigin,5,1.0,1,gaussian,2.0,2,-12.14936862983345,-11.805937462030535,12.14936862983345,11.805937462030535
rastrigin,5,1.0,1,gaussian,2.0,3,-32.33540741461784,-33.488163108755614,32.33540741461784,33.488163108755614
rastrigin,5,1.0,1,gaussian,2.0,4,-26.25770038735116,-26.61139564381108,26.25770038735116,26.61139564381108
rastrigin,5,1.0,2,gaussian,2.0,0,-32.61471460594847,-32.061068616400696,32.61471460594847,32.061068616400696
rastrigin,5,1.0,2,gaussian,2.0,1,-19.94875183359424,-21.930724175661737,19.94875183359424,21.930724175661737
rastrigin,5,1.0,2,gaussian,2.0,2,-21.04483639371837,-25.037057948933395,21.04483639371837,25.037057948933395
rastrigin,5,1.0,2,gaussian,2.0,3,-20.182330382072816,-18.1736703404708,20.182330382072816,18.1736703404708
rastrigin,5,1.0,2,gaussian,2.0,4,-11.423726808952164,-10.900019185069368,11.423726808952164,10.900019185069368
rastrigin,5,hw,0,gaussian,2.0,0,-21.446514235181066,-22.373020286161434,21.446514235181066,22.373020286161434
rastrigin,5,hw,0,gaussian,2.0,1,-32.10485915682263,-34.07319058463503,32.10485915682263,34.07319058463503
rastrigin,5,hw,0,gaussian,2.0,2,-28.998346309143823,-29.684644796306998,28.998346309143823,29.684644796306998
rastrigin,5,hw,0,gaussian,2.0,3,-19.156674535149342,-22.19470122580303,19.156674535149342,22.19470122580303
rastrigin,5,hw,0,gaussian,2.0,4,-24.911037764459913,-25.52464981642289,24.911037764459913,25.52464981642289
rastrigin,5,hw,1,gaussian,2.0,0,-6.564381132976251,-8.81219174420513,6.564381132976251,8.81219174420513
rastrigin,5,hw,1,gaussian,2.0,1,-30.61066729503467,-31.628557440739314,30.61066729503467,31.628557440739314
rastrigin,5,hw,1,gaussian,2.0,2,-11.475410512310113,-10.45756143798571,11.475410512310113,10.45756143798571
rastrigin,5,hw,1,gaussian,2.0,3,-17.690777663729406,-16.51525771411856,17.690777663729406,16.51525771411856
rastrigin,5,hw,1,gaussian,2.0,4,-4.871691411560224,-5.225386668020143,4.871691411560224,5.225386668020143
rastrigin,5,hw,2,gaussian,2.0,0,-12.727595412473985,-13.325022732458002,12.727595412473985,13.325022732458002
rastrigin,5,hw,2,gaussian,2.0,1,-17.667505358856577,-19.20173155174622,17.667505358856577,19.20173155174622
rastrigin,5,hw,2,gaussian,2.0,2,-28.457820629946948,-30.23606526572383,28.457820629946948,30.23606526572383
rastrigin,5,hw,2,gaussian,2.0,3,-13.652834985943054,-16.58985565599282,13.652834985943054,16.58985565599282
rastrigin,5,hw,2,gaussian,2.0,4,-0.5235979746138955,-3.639204250636503,0.5235979746138955,3.639204250636503
schwefel,5,1.0,0,gaussian,2.0,0,-1219.4529304156283,-1221.2359610556068,1219.4529304156283,1221.2359610556068
schwefel,5,1.0,0,gaussian,2.0,1,-608.7707544701738,-605.7771009813928,608.7707544701738,605.7771009813928
schwefel,5,1.0,0,gaussian,2.0,2,-1135.3389509290928,-1135.1553099311964,1135.3389509290928,1135.1553099311964
schwefel,5,1.0,0,gaussian,2.0,3,-740.983665922845,-744.0216926134988,740.983665922845,744.0216926134988
