function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
expanded_scaffer_f6,5,hw,1,student_t,2.0,2,2.51764904317504,-1.5648211542234975,-2.51764904317504,1.5648211542234975
expanded_scaffer_f6,5,hw,1,student_t,2.0,3,2.220060900080582,-2.0367433068187477,-2.220060900080582,2.0367433068187477
expanded_scaffer_f6,5,hw,1,student_t,2.0,4,3.234009546542631,-2.2260933906132108,-3.234009546542631,2.2260933906132108
expanded_scaffer_f6,5,hw,2,student_t,2.0,0,2.4013526362253086,-2.1097904548856325,-2.4013526362253086,2.1097904548856325
expanded_scaffer_f6,5,hw,2,student_t,2.0,1,4.60054493271992,-2.0418031913502848,-4.60054493271992,2.0418031913502848
expanded_scaffer_f6,5,hw,2,student_t,2.0,2,2.51764904317504,-1.5648211542234975,-2.51764904317504,1.5648211542234975
expanded_scaffer_f6,5,hw,2,student_t,2.0,3,2.220060900080582,-2.0367433068187477,-2.220060900080582,2.0367433068187477
expanded_scaffer_f6,5,hw,2,student_t,2.0,4,3.234009546542631,-2.2260933906132108,-3.234009546542631,2.2260933906132108
sphere,10,1.0,0,student_t,2.0,0,5.846468742846545,-1.8393964770253246,-5.846468742846545,1.8393964770253246
sphere,10,1.0,0,student_t,2.0,1,4.337203853106164,-2.090012721784485,-4.337203853106164,2.090012721784485
sphere,10,1.0,0,student_t,2.0,2,5.0556035736761125,-1.1606439057349698,-5.0556035736761125,1.1606439057349698
sphere,10,1.0,0,student_t,2.0,3,0.047147574479486476,-2.497709699891312,-0.047147574479486476,2.497709699891312
sphere,10,1.0,0,student_t,2.0,4,1.3862728710087069,-4.511850420894735,-1.3862728710087069,4.511850420894735
sphere,10,1.0,1,student_t,2.0,0,7.070410792180073,-0.3171913984067034,-7.070410792180073,0.3171913984067034
sphere,10,1.0,1,student_t,2.0,1,5.278777469985538,-0.6754442008901616,-5.278777469985538,0.6754442008901616
sphere,10,1.0,1,student_t,2.0,2,2.276642164749415,-0.7468825118789888,-2.276642164749415,0.7468825118789888
sphere,10,1.0,1,student_t,2.0,3,1.900344802521876,-1.2855984672194616,-1.900344802521876,1.2855984672194616
sphere,10,1.0,1,student_t,2.0,4,3.9777363135929202,-0.574289706899172,-3.9777363135929202,0.574289706899172
sphere,10,1.0,2,student_t,2.0,0,2.735353890307535,-0.19283716990662733,-2.735353890307535,0.19283716990662733
sphere,10,1.0,2,student_t,2.0,1,1.036849265848179,-0.8801039561111259,-1.036849265848179,0.8801039561111259
sphere,10,1.0,2,student_t,2.0,2,5.738850566614278,-0.3875041760972336,-5.738850566614278,0.3875041760972336
sphere,10,1.0,2,student_t,2.0,3,2.9217543640462247,-0.5120847558134339,-2.9217543640462247,0.5120847558134339
sphere,10,1.0,2,student_t,2.0,4,5.2028802889261465,-0.3899211788839825,-5.2028802889261465,0.3899211788839825
sphere,10,hw,0,student_t,2.0,0,4.0863591835861355,-0.9854848812617338,-4.0863591835861355,0.9854848812617338
sphere,10,hw,0,student_t,2.0,1,3.039062557674332,-3.2263220505727754,-3.039062557674332,3.2263220505727754
sphere,10,hw,0,student_t,2.0,2,5.981200471608508,-0.26652320110987654,-5.981200471608508,0.26652320110987654
sphere,10,hw,0,student_t,2.0,3,0.6806427444242815,-2.009542614120242,-0.6806427444242815,2.009542614120242
sphere,10,hw,0,student_t,2.0,4,-5.141727016256066,-8.837275896549507,5.141727016256066,8.837275896549507
sphere,10,hw,1,student_t,2.0,0,7.340427410545095,-0.17719292072097312,-7.340427410545095,0.17719292072097312
sphere,10,hw,1,student_t,2.0,1,5.760909442406911,-0.13303800553917441,-5.760909442406911,0.13303800553917441
sphere,10,hw,1,student_t,2.0,2,5.492164026824379,-0.45625302067972373,-5.492164026824379,0.45625302067972373
sphere,10,hw,1,student_t,2.0,3,2.7247496999380045,-0.542350786507881,-2.7247496999380045,0.542350786507881
sphere,10,hw,1,student_t,2.0,4,5.723817126381429,-0.16986031235602644,-5.723817126381429,0.16986031235602644
sphere,10,hw,2,student_t,2.0,0,2.4973601444548414,-0.2243198402150195,-2.4973601444548414,0.2243198402150195
sphere,10,hw,2,student_t,2.0,1,2.2793959524871332,-0.2185137171599587,-2.2793959524871332,0.2185137171599587
sphere,10,hw,2,student_t,2.0,2,4.917236492833566,-0.22849044487429027,-4.917236492833566,0.22849044487429027
sphere,10,hw,2,student_t,2.0,3,3.080516928490205,-0.5420769317767337,-3.080516928490205,0.5420769317767337
sphere,10,hw,2,student_t,2.0,4,5.3771512670340575,-0.2522642891325868,-5.3771512670340575,0.2522642891325868
