function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
beale,2,hw,2,gaussian,2.0,2,-0.2845792268603824,-0.529991564110224,0.2845792268603824,0.529991564110224,s03_batch3,
beale,2,hw,2,gaussian,2.0,3,0.5059899854009263,-0.0171267715059822,-0.5059899854009263,0.0171267715059822,s03_batch3,
beale,2,hw,2,gaussian,2.0,4,-0.2520074968130465,-1.0387203124612632,0.2520074968130465,1.0387203124612632,s03_batch3,
branin,2,1,0,gaussian,2.0,0,0.8660309550059568,-1.2972683468619746,-0.8660309550059568,1.2972683468619746,s03_batch3,
branin,2,1,0,gaussian,2.0,1,2.5516156815316107,-0.5740545288570953,-2.5516156815316107,0.5740545288570953,s03_batch3,
branin,2,1,0,gaussian,2.0,2,-0.4772116772533628,-0.9361587933076034,0.4772116772533628,0.9361587933076034,s03_batch3,
branin,2,1,0,gaussian,2.0,3,-7.972111625355924,-10.563001677921768,7.972111625355924,10.563001677921768,s03_batch3,
branin,2,1,0,gaussian,2.0,4,2.066382785784121,-0.6336974789664556,-2.066382785784121,0.6336974789664556,s03_batch3,
branin,2,1,1,gaussian,2.0,0,2.010567269805841,-0.4156079422889629,-2.010567269805841,0.4156079422889629,s03_batch3,
branin,2,1,1,gaussian,2.0,1,-1.8405699899541432,-0.6840057271879285,1.8405699899541432,0.6840057271879285,s03_batch3,
branin,2,1,1,gaussian,2.0,2,0.8044750429418439,-0.1389501029434861,-0.8044750429418439,0.1389501029434861,s03_batch3,
branin,2,1,1,gaussian,2.0,3,2.388032715442413,-0.2028573371234294,-2.388032715442413,0.2028573371234294,s03_batch3,
branin,2,1,1,gaussian,2.0,4,0.8493296331935527,-0.3501585922055312,-0.8493296331935527,0.3501585922055312,s03_batch3,
branin,2,1,2,gaussian,2.0,0,1.3609011825277686,-1.0652740295670355,-1.3609011825277686,1.0652740295670355,s03_batch3,
branin,2,1,2,gaussian,2.0,1,-5.2836865522169685,-2.69451019473433,5.2836865522169685,2.69451019473433,s03_batch3,
branin,2,1,2,gaussian,2.0,2,-0.2755704766581477,-0.6946927038234421,0.2755704766581477,0.6946927038234421,s03_batch3,
branin,2,1,2,gaussian,2.0,3,0.2364386743875268,-1.0315865110497544,-0.2364386743875268,1.0315865110497544,s03_batch3,
branin,2,1,2,gaussian,2.0,4,0.5854493510827636,-0.3649542923167548,-0.5854493510827636,0.3649542923167548,s03_batch3,
branin,2,hw,0,gaussian,2.0,0,1.3495160072723418,-1.0766592048224624,-1.3495160072723418,1.0766592048224624,s03_batch3,
branin,2,hw,0,gaussian,2.0,1,2.7164700329622056,-0.5970056977039953,-2.7164700329622056,0.5970056977039953,s03_batch3,
branin,2,hw,0,gaussian,2.0,2,0.9897491386010246,-0.4251463703174867,-0.9897491386010246,0.4251463703174867,s03_batch3,
branin,2,hw,0,gaussian,2.0,3,-7.972111625355924,-10.563001677921768,7.972111625355924,10.563001677921768,s03_batch3,
branin,2,hw,0,gaussian,2.0,4,2.15827554972167,-0.4960740255894347,-2.15827554972167,0.4960740255894347,s03_batch3,
branin,2,hw,1,gaussian,2.0,0,0.3337016705076259,-1.3124005538309709,-0.3337016705076259,1.3124005538309709,s03_batch3,
branin,2,hw,1,gaussian,2.0,1,-0.3406402345597668,-0.684269684699915,0.3406402345597668,0.684269684699915,s03_batch3,
branin,2,hw,1,gaussian,2.0,2,-0.865562143861388,-0.1389518329587762,0.865562143861388,0.1389518329587762,s03_batch3,
branin,2,hw,1,gaussian,2.0,3,0.7783779365085852,-0.1008233160806142,-0.7783779365085852,0.1008233160806142,s03_batch3,
branin,2,hw,1,gaussian,2.0,4,0.9140858795520894,-0.3501615144233199,-0.9140858795520894,0.3501615144233199,s03_batch3,
branin,2,hw,2,gaussian,2.0,0,1.4053752200573153,-1.0207999920374888,-1.4053752200573153,1.0207999920374888,s03_batch3,
branin,2,hw,2,gaussian,2.0,1,-5.311960372753715,-2.693871244875412,5.311960372753715,2.693871244875412,s03_batch3,
