function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
forrester08,1,hw,1,heteroscedastic,2.0,4,2.404207582794797,-5.418866012796286e-06,-2.404207582794797,5.418866012796286e-06,s03_batch3,
forrester08,1,hw,2,heteroscedastic,2.0,0,3.1380716714107524,-0.0157659031706973,-3.1380716714107524,0.0157659031706973,s03_batch3,
forrester08,1,hw,2,heteroscedastic,2.0,1,-2.7286443421733435,-0.5392982586347506,2.7286443421733435,0.5392982586347506,s03_batch3,
forrester08,1,hw,2,heteroscedastic,2.0,2,1.624220428769446,-0.0205395624793842,-1.624220428769446,0.0205395624793842,s03_batch3,
forrester08,1,hw,2,heteroscedastic,2.0,3,-0.0762314694152641,-0.0775132008591157,0.0762314694152641,0.0775132008591157,s03_batch3,
forrester08,1,hw,2,heteroscedastic,2.0,4,1.0253588494411805,-0.2164299430835887,-1.0253588494411805,0.2164299430835887,s03_batch3,
goldstein_price,2,1,0,heteroscedastic,2.0,0,-595.2653405405221,-597.4060383558661,595.2653405405221,597.4060383558661,s03_batch3,
goldstein_price,2,1,0,heteroscedastic,2.0,1,-202.9950038138221,-198.56899284608525,202.9950038138221,198.56899284608525,s03_batch3,
goldstein_price,2,1,0,heteroscedastic,2.0,2,-29.838392260871743,-29.92169130324621,29.838392260871743,29.92169130324621,s03_batch3,
goldstein_price,2,1,0,heteroscedastic,2.0,3,-380.0711545849471,-376.6466873747033,380.0711545849471,376.6466873747033,s03_batch3,
goldstein_price,2,1,0,heteroscedastic,2.0,4,-88.29931990837966,-91.51499654965173,88.29931990837966,91.51499654965173,s03_batch3,
goldstein_price,2,1,1,heteroscedastic,2.0,0,0.9845393244442716,-2.6078367717138877,-0.9845393244442716,2.6078367717138877,s03_batch3,
goldstein_price,2,1,1,heteroscedastic,2.0,1,-34.039238760198074,-36.185929602663215,34.039238760198074,36.185929602663215,s03_batch3,
goldstein_price,2,1,1,heteroscedastic,2.0,2,-29.838392260871743,-29.92169130324621,29.838392260871743,29.92169130324621,s03_batch3,
goldstein_price,2,1,1,heteroscedastic,2.0,3,-28.993164710904757,-27.23304751741853,28.993164710904757,27.23304751741853,s03_batch3,
goldstein_price,2,1,1,heteroscedastic,2.0,4,-84.67101206632188,-81.94290776581302,84.67101206632188,81.94290776581302,s03_batch3,
goldstein_price,2,1,2,heteroscedastic,2.0,0,-27.23195379760051,-28.474933975690952,27.23195379760051,28.474933975690952,s03_batch3,
goldstein_price,2,1,2,heteroscedastic,2.0,1,-32.82948749872352,-33.28708890204369,32.82948749872352,33.28708890204369,s03_batch3,
goldstein_price,2,1,2,heteroscedastic,2.0,2,-15.691856449670782,-13.793965467386496,15.691856449670782,13.793965467386496,s03_batch3,
goldstein_price,2,1,2,heteroscedastic,2.0,3,-29.689165162285967,-27.928818583874502,29.689165162285967,27.928818583874502,s03_batch3,
goldstein_price,2,1,2,heteroscedastic,2.0,4,-37.60750486505004,-34.37828060516391,37.60750486505004,34.37828060516391,s03_batch3,
