function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
rotated_hyper_ellipsoid,10,hw,1,student_t,2.0,2,-71.18046279951852,-70.72393581300119,71.18046279951852,70.72393581300119,s02_batch2,
rotated_hyper_ellipsoid,10,hw,1,student_t,2.0,3,-52.76860040180229,-51.60523079106183,52.76860040180229,51.60523079106183,s02_batch2,
rotated_hyper_ellipsoid,10,hw,1,student_t,2.0,4,-15.394638745856618,-14.953381588298392,15.394638745856618,14.953381588298392,s02_batch2,
rotated_hyper_ellipsoid,10,hw,2,student_t,2.0,0,-76.98884629503642,-75.34978954821312,76.98884629503642,75.34978954821312,s02_batch2,
rotated_hyper_ellipsoid,10,hw,2,student_t,2.0,1,-81.3237698081601,-77.15508870012772,81.3237698081601,77.15508870012772,s02_batch2,
rotated_hyper_ellipsoid,10,hw,2,student_t,2.0,2,-51.78135388550763,-52.4451747813642,51.78135388550763,52.4451747813642,s02_batch2,
rotated_hyper_ellipsoid,10,hw,2,student_t,2.0,3,-81.80551320536301,-82.19493954787619,81.80551320536301,82.19493954787619,s02_batch2,
rotated_hyper_ellipsoid,10,hw,2,student_t,2.0,4,-69.18963171430431,-69.51961659264126,69.18963171430431,69.51961659264126,s02_batch2,
sum_squares,5,1,0,student_t,2.0,0,0.0974781396628099,-2.016615472963065,-0.0974781396628099,2.016615472963065,s02_batch2,
sum_squares,5,1,0,student_t,2.0,1,0.0768881717221097,-2.368351302247368,-0.0768881717221097,2.368351302247368,s02_batch2,
sum_squares,5,1,0,student_t,2.0,2,-2.1355411729995053,-3.148059517675976,2.1355411729995053,3.148059517675976,s02_batch2,
sum_squares,5,1,0,student_t,2.0,3,-1.7975233903841228,-3.3419741301762422,1.7975233903841228,3.3419741301762422,s02_batch2,
sum_squares,5,1,0,student_t,2.0,4,-2.625732453668419,-4.177402857646606,2.625732453668419,4.177402857646606,s02_batch2,
sum_squares,5,1,1,student_t,2.0,0,-1.4437936717027784,-1.245316488182132,1.4437936717027784,1.245316488182132,s02_batch2,
sum_squares,5,1,1,student_t,2.0,1,5.055647860859735,-1.289188627980145,-5.055647860859735,1.289188627980145,s02_batch2,
sum_squares,5,1,1,student_t,2.0,2,1.2877428398733095,-0.20240276137423,-1.2877428398733095,0.20240276137423,s02_batch2,
sum_squares,5,1,1,student_t,2.0,3,0.9879018793068256,-0.0264129470532186,-0.9879018793068256,0.0264129470532186,s02_batch2,
sum_squares,5,1,1,student_t,2.0,4,1.8102680345793332,-0.1350095489766354,-1.8102680345793332,0.1350095489766354,s02_batch2,
sum_squares,5,1,2,student_t,2.0,0,-2.319048799745343,-2.130890665169535,2.319048799745343,2.130890665169535,s02_batch2,
sum_squares,5,1,2,student_t,2.0,1,0.968632707538303,-2.0868732621569444,-0.968632707538303,2.0868732621569444,s02_batch2,
sum_squares,5,1,2,student_t,2.0,2,-0.893387675490648,-0.4456428835209418,0.893387675490648,0.4456428835209418,s02_batch2,
sum_squares,5,1,2,student_t,2.0,3,-1.2475041625198835,-2.027872006714775,1.2475041625198835,2.027872006714775,s02_batch2,
sum_squares,5,1,2,student_t,2.0,4,0.0883451739961334,-1.9158881706748967,-0.0883451739961334,1.9158881706748967,s02_batch2,
sum_squares,5,hw,0,student_t,2.0,0,0.6711254275778868,-2.100690684658157,-0.6711254275778868,2.100690684658157,s02_batch2,
sum_squares,5,hw,0,student_t,2.0,1,-2.901976441930407,-3.6149093698096273,2.901976441930407,3.6149093698096273,s02_batch2,
sum_squares,5,hw,0,student_t,2.0,2,1.1960116861714232,-1.476021195288554,-1.1960116861714232,1.476021195288554,s02_batch2,
sum_squares,5,hw,0,student_t,2.0,3,0.0020649510212362,-1.0523692757877097,-0.0020649510212362,1.0523692757877097,s02_batch2,
sum_squares,5,hw,0,student_t,2.0,4,2.427149203452694,-0.8960009280664872,-2.427149203452694,0.8960009280664872,s02_batch2,
sum_squares,5,hw,1,student_t,2.0,0,-1.4437539168437357,-1.2452767333230894,1.4437539168437357,1.2452767333230894,s02_batch2,
sum_squares,5,hw,1,student_t,2.0,1,5.056811994796959,-1.283652500032992,-5.056811994796959,1.283652500032992,s02_batch2,
sum_squares,5,hw,1,student_t,2.0,2,1.2868367384945651,-0.2033088627529747,-1.2868367384945651,0.2033088627529747,s02_batch2,
sum_squares,5,hw,1,student_t,2.0,3,0.9722826621217464,-0.0326141558658265,-0.9722826621217464,0.0326141558658265,s02_batch2,
